Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P07017	Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) GN=tar PE=1 SV=2	tar	59.88855652	NT	Cell motility	CELLULAR PROCESSES AND SIGNALING
P0A9H7	Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2	cfa	43.86265146	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P29012	Alanine racemase, catabolic OS=Escherichia coli (strain K12) GN=dadX PE=2 SV=2	dadX	38.8019209	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37760	dTDP-4-dehydrorhamnose reductase OS=Escherichia coli (strain K12) GN=rfbD PE=3 SV=2	rfbD	32.65566505	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37194	Outer membrane protein slp OS=Escherichia coli (strain K12) GN=slp PE=1 SV=1	slp	20.93271853	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37645	Uncharacterized protein yhjG OS=Escherichia coli (strain K12) GN=yhjG PE=4 SV=3	yhjG	74.3932067	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37665	Inner membrane lipoprotein yiaD OS=Escherichia coli (strain K12) GN=yiaD PE=1 SV=2	yiaD	22.16552748	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P39285	Uncharacterized mscS family protein yjeP OS=Escherichia coli (strain K12) GN=yjeP PE=3 SV=3	mscM	123.871753	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P02929	Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2	tonB	26.05999904	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
Q6BF17	D-galactonate dehydratase OS=Escherichia coli (strain K12) GN=dgoD PE=1 SV=1	dgoD	42.4777743	MR	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P77552	Uncharacterized protein ydhQ OS=Escherichia coli (strain K12) GN=ydhQ PE=4 SV=1	ydhQ	42.83172841	MU	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0ADA5	Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1	yajG	20.91882524	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P77338	Potassium efflux system KefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1	mscK	127.1173538	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AFQ7	Uncharacterized deoxyribonuclease ycfH OS=Escherichia coli (strain K12) GN=ycfH PE=1 SV=1	ycfH	29.77209642	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P23909	DNA mismatch repair protein mutS OS=Escherichia coli (strain K12) GN=mutS PE=1 SV=1	mutS	95.16913824	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0AFY8	Protein seqA OS=Escherichia coli (strain K12) GN=seqA PE=1 SV=1	seqA	20.28449411	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0CE49	Transposase insH for insertion sequence element IS5A OS=Escherichia coli (strain K12) GN=insH1 PE=3 SV=1	insH	39.28407353	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9H1	G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) GN=mug PE=1 SV=1	mug	18.64380808	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P21893	Single-stranded-DNA-specific exonuclease recJ OS=Escherichia coli (strain K12) GN=recJ PE=1 SV=2	recJ	63.33091448	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A8W5	UPF0301 protein yqgE OS=Escherichia coli (strain K12) GN=yqgE PE=1 SV=1	yqgE	20.65480682	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8U6	Met repressor OS=Escherichia coli (strain K12) GN=metJ PE=1 SV=2	metJ	12.11513483	KE	Transcription	INFORMATION STORAGE AND PROCESSING
P45425	N-acetylmannosamine kinase OS=Escherichia coli (strain K12) GN=nanK PE=1 SV=2	nanK	29.60746552	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0A9F1	Transcriptional regulator mntR OS=Escherichia coli (strain K12) GN=mntR PE=1 SV=1	mntR	17.61122461	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8D0	Transcriptional repressor NrdR OS=Escherichia coli (strain K12) GN=nrdR PE=1 SV=1	nrdR	17.19980889	K	Transcription	INFORMATION STORAGE AND PROCESSING
P77300	Uncharacterized HTH-type transcriptional regulator yagI OS=Escherichia coli (strain K12) GN=yagI PE=4 SV=1	yagI	27.80274063	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7D1	Peptidyl-tRNA hydrolase OS=Escherichia coli (strain K12) GN=pth PE=1 SV=1	pth	21.05107365	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7U3	30S ribosomal protein S19 OS=Escherichia coli (strain K12) GN=rpsS PE=1 SV=2	rpsS	10.40570428	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P68679	30S ribosomal protein S21 OS=Escherichia coli (strain K12) GN=rpsU PE=1 SV=2	rpsU	8.47671577	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A873	tRNA (guanine-N(1)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmD PE=1 SV=1	trmD	28.38644362	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AA37	Ribosomal large subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rluA PE=1 SV=2	rluA	24.82672331	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AFR4	Uncharacterized protein yciO OS=Escherichia coli (strain K12) GN=yciO PE=1 SV=1	yciO	23.17895771	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A9J0	Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	rng	55.31145087	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ABD8	Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1	accB	16.65841639	I	Lipid transport and metabolism	METABOLISM
Q46939	Probable acetyl-CoA acetyltransferase OS=Escherichia coli (strain K12) GN=yqeF PE=3 SV=2	yqeF	40.97511436	I	Lipid transport and metabolism	METABOLISM
P0ABQ2	2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) GN=garR PE=1 SV=1	garR	30.38981841	I	Lipid transport and metabolism	METABOLISM
P12995	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2	bioA	47.28645536	H	Coenzyme transport and metabolism	METABOLISM
P0AC13	Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1	folP	30.57767761	H	Coenzyme transport and metabolism	METABOLISM
P0ABU0	1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	menB	31.59451617	H	Coenzyme transport and metabolism	METABOLISM
P0A738	Molybdenum cofactor biosynthesis protein C OS=Escherichia coli (strain K12) GN=moaC PE=1 SV=2	moaC	17.43796509	H	Coenzyme transport and metabolism	METABOLISM
P0AFI7	Pyridoxine/pyridoxamine 5'-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2	pdxH	25.51116439	H	Coenzyme transport and metabolism	METABOLISM
P0AG40	Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1	ribF	34.69452422	H	Coenzyme transport and metabolism	METABOLISM
P36553	Coproporphyrinogen-III oxidase, aerobic OS=Escherichia coli (strain K12) GN=hemF PE=1 SV=1	hemF	34.28278379	H	Coenzyme transport and metabolism	METABOLISM
P25539	Riboflavin biosynthesis protein RibD OS=Escherichia coli (strain K12) GN=ribD PE=1 SV=1	ribD	40.29480788	H	Coenzyme transport and metabolism	METABOLISM
P26612	Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3	amyA	56.58535938	G	Carbohydrate transport and metabolism	METABOLISM
P0A955	KHG/KDPG aldolase OS=Escherichia coli (strain K12) GN=eda PE=1 SV=1	eda	22.25188875	G	Carbohydrate transport and metabolism	METABOLISM
P39366	Putative aminopeptidase sgcX OS=Escherichia coli (strain K12) GN=sgcX PE=3 SV=3	sgcX	40.57068839	G	Carbohydrate transport and metabolism	METABOLISM
P77713	Putative beta-xylosidase OS=Escherichia coli (strain K12) GN=yagH PE=3 SV=1	yagH	60.76844307	G	Carbohydrate transport and metabolism	METABOLISM
P0AEX3	Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1	kgtP	47.00344462	G	Carbohydrate transport and metabolism	METABOLISM
P39829	D-galactarate dehydratase OS=Escherichia coli (strain K12) GN=garD PE=1 SV=2	garD	56.34807443	G	Carbohydrate transport and metabolism	METABOLISM
P0A9C9	Fructose-1,6-bisphosphatase 1 class 2 OS=Escherichia coli (strain K12) GN=glpX PE=1 SV=1	glpX	35.81162041	G	Carbohydrate transport and metabolism	METABOLISM
P37647	2-dehydro-3-deoxygluconokinase OS=Escherichia coli (strain K12) GN=kdgK PE=3 SV=1	kdgK	33.92304409	G	Carbohydrate transport and metabolism	METABOLISM
P76142	Autoinducer 2-binding protein lsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	lsrB	36.64390248	G	Carbohydrate transport and metabolism	METABOLISM
P25718	Alpha-amylase OS=Escherichia coli (strain K12) GN=malS PE=1 SV=1	malS	75.64694856	G	Carbohydrate transport and metabolism	METABOLISM
P0AA04	Phosphocarrier protein HPr OS=Escherichia coli (strain K12) GN=ptsH PE=1 SV=1	ptsH	9.09572664	G	Carbohydrate transport and metabolism	METABOLISM
P0C0L7	Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1	proP	54.79207555	G	Carbohydrate transport and metabolism	METABOLISM
P69829	Nitrogen regulatory protein OS=Escherichia coli (strain K12) GN=ptsN PE=1 SV=1	ptsN	17.93042797	GT	Carbohydrate transport and metabolism	METABOLISM
P31806	Uncharacterized protein yjeF OS=Escherichia coli (strain K12) GN=yjeF PE=1 SV=2	nnr	54.59823236	G	Carbohydrate transport and metabolism	METABOLISM
P60546	Guanylate kinase OS=Escherichia coli (strain K12) GN=gmk PE=1 SV=1	gmk	23.56001565	F	Nucleotide transport and metabolism	METABOLISM
P0A720	Thymidylate kinase OS=Escherichia coli (strain K12) GN=tmk PE=1 SV=1	tmk	23.75043554	F	Nucleotide transport and metabolism	METABOLISM
P0AFL6	Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2	ppx	58.08115167	FP	Nucleotide transport and metabolism	METABOLISM
P52061	Nucleoside-triphosphatase rdgB OS=Escherichia coli (strain K12) GN=rdgB PE=1 SV=1	rdgB	21.00785524	F	Nucleotide transport and metabolism	METABOLISM
P0A9D4	Serine acetyltransferase OS=Escherichia coli (strain K12) GN=cysE PE=1 SV=1	cysE	29.28000172	E	Amino acid transport and metabolism	METABOLISM
P0A962	L-asparaginase 1 OS=Escherichia coli (strain K12) GN=ansA PE=1 SV=1	ansA	37.08575937	EJ	Amino acid transport and metabolism	METABOLISM
P75682	Uncharacterized protein yagE OS=Escherichia coli (strain K12) GN=yagE PE=1 SV=1	yagE	33.27740786	EM	Amino acid transport and metabolism	METABOLISM
P0A959	Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1	alaA	45.47038651	E	Amino acid transport and metabolism	METABOLISM
P77434	Uncharacterized aminotransferase YfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1	alaC	46.16871805	E	Amino acid transport and metabolism	METABOLISM
P77581	Succinylornithine transaminase OS=Escherichia coli (strain K12) GN=astC PE=1 SV=1	astC	43.6199979	E	Amino acid transport and metabolism	METABOLISM
P10346	Glutamine transport ATP-binding protein GlnQ OS=Escherichia coli (strain K12) GN=glnQ PE=1 SV=1	glnQ	26.69611147	E	Amino acid transport and metabolism	METABOLISM
P37595	Isoaspartyl peptidase OS=Escherichia coli (strain K12) GN=iaaA PE=1 SV=2	iaaA	33.35463774	E	Amino acid transport and metabolism	METABOLISM
P77348	Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	mppA	59.8448587	E	Amino acid transport and metabolism	METABOLISM
P14175	Glycine betaine/L-proline transport ATP-binding protein ProV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1	proV	44.11713409	E	Amino acid transport and metabolism	METABOLISM
P77795	Uncharacterized ABC transporter ATP-binding protein YdcT OS=Escherichia coli (strain K12) GN=ydcT PE=3 SV=1	ydcT	36.99906605	E	Amino acid transport and metabolism	METABOLISM
P37690	Uncharacterized protein yibP OS=Escherichia coli (strain K12) GN=yibP PE=4 SV=2	envC	46.54842826	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0AAJ5	Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1	fdoH	33.0608989	C	Energy production and conversion	METABOLISM
P0A6S7	Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) GN=gpsA PE=3 SV=1	gpsA	36.32064479	C	Energy production and conversion	METABOLISM
P0AFD6	NADH-quinone oxidoreductase subunit I OS=Escherichia coli (strain K12) GN=nuoI PE=1 SV=1	nuoI	20.50612496	C	Energy production and conversion	METABOLISM
P77258	N-ethylmaleimide reductase OS=Escherichia coli (strain K12) GN=nemA PE=1 SV=1	nemA	39.47411065	C	Energy production and conversion	METABOLISM
P23886	ATP-binding/permease protein CydC OS=Escherichia coli (strain K12) GN=cydC PE=3 SV=2	cydC	62.86268065	CO	Energy production and conversion	METABOLISM
P29018	ATP-binding/permease protein CydD OS=Escherichia coli (strain K12) GN=cydD PE=1 SV=3	cydD	64.99728515	CO	Energy production and conversion	METABOLISM
P24251	Sigma factor-binding protein crl OS=Escherichia coli (strain K12) GN=crl PE=1 SV=5	crl	15.62698076	-		
P03841	Maltose operon periplasmic protein OS=Escherichia coli (strain K12) GN=malM PE=4 SV=1	malM	31.90564602	-		
P16525	DNA replication terminus site-binding protein OS=Escherichia coli (strain K12) GN=tus PE=1 SV=1	tus	35.74313016	-		
P75818	Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1	ybjP	18.96146217	-		
P42616	Protein yqjC OS=Escherichia coli (strain K12) GN=yqjC PE=1 SV=3	yqjC	13.87922512	-		
P37005	Uncharacterized tRNA/rRNA methyltransferase LasT OS=Escherichia coli (strain K12) GN=lasT PE=3 SV=2	lasT	25.22508769	-		
P0A6P7	Probable GTP-binding protein engB OS=Escherichia coli (strain K12) GN=engB PE=1 SV=1	engB	23.52817928	-		
P0CE60	Transposase insH for insertion sequence element IS5-13 OS=Escherichia coli (strain K12) GN=JW5895 PE=3 SV=1	JW58	37.80931919	-		
Q46927	Uncharacterized protein ygdL OS=Escherichia coli (strain K12) GN=ygdL PE=3 SV=1	ygdL	28.52562512	-		
P27303	Multidrug resistance protein A OS=Escherichia coli (strain K12) GN=emrA PE=3 SV=2	emrA	42.69161954	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAH8	Peptide transport system ATP-binding protein SapF OS=Escherichia coli (strain K12) GN=sapF PE=1 SV=1	sapF	30.53306637	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P75777	UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1	ybhG	36.37563323	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P31455	Uncharacterized protein YidR OS=Escherichia coli (strain K12) GN=yidR PE=4 SV=4	yidR	46.1398176	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AE85	Periplasmic protein CpxP OS=Escherichia coli (strain K12) GN=cpxP PE=1 SV=1	cpxP	18.93533096	UNTP	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P05637	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	apaH	31.25868847	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AFX9	Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1	rseB	35.70928651	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AFB5	Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1	glnL	38.51426871	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AE70	mRNA interferase MazF OS=Escherichia coli (strain K12) GN=mazF PE=1 SV=1	mazF	12.07217366	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P46888	Universal stress protein C OS=Escherichia coli (strain K12) GN=uspC PE=2 SV=1	uspC	15.6049098	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAB8	Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1	uspD	16.26449707	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P31802	Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1	narP	23.54238514	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76270	Protein yebR OS=Escherichia coli (strain K12) GN=yebR PE=1 SV=2	msrC	18.09223628	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAR3	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1	ybaK	17.06422625	S	Function unknown	POORLY CHARACTERIZED
P21363	Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1	yciE	18.93147424	S	Function unknown	POORLY CHARACTERIZED
P76235	UPF0229 protein yeaH OS=Escherichia coli (strain K12) GN=yeaH PE=3 SV=1	yeaH	49.34380506	S	Function unknown	POORLY CHARACTERIZED
P0A8A2	UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1	yeeN	25.83316003	S	Function unknown	POORLY CHARACTERIZED
P76346	Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2	mtfA	30.24207969	S	Function unknown	POORLY CHARACTERIZED
P22525	Probable L,D-transpeptidase YcbB OS=Escherichia coli (strain K12) GN=ycbB PE=1 SV=2	ycbB	67.75173072	S	Function unknown	POORLY CHARACTERIZED
P32157	Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2	yiiM	25.30867636	S	Function unknown	POORLY CHARACTERIZED
P32680	Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1	yjaG	22.58006443	S	Function unknown	POORLY CHARACTERIZED
P76193	Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) GN=ynhG PE=1 SV=1	ynhG	36.04190682	S	Function unknown	POORLY CHARACTERIZED
P27862	IMPACT family member yigZ OS=Escherichia coli (strain K12) GN=yigZ PE=1 SV=2	yigZ	21.72516451	S	Function unknown	POORLY CHARACTERIZED
P0AF48	UPF0047 protein yjbQ OS=Escherichia coli (strain K12) GN=yjbQ PE=3 SV=1	yjbQ	15.62790316	S	Function unknown	POORLY CHARACTERIZED
P39411	UPF0244 protein yjjX OS=Escherichia coli (strain K12) GN=yjjX PE=1 SV=2	yjjX	18.18333845	S	Function unknown	POORLY CHARACTERIZED
P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	28.25584769	S	Function unknown	POORLY CHARACTERIZED
P0A8Y3	Phosphatase yihX OS=Escherichia coli (strain K12) GN=yihX PE=1 SV=1	yihX	22.69937437	R	General function prediction only	POORLY CHARACTERIZED
P0AE22	Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1	aphA	26.06923615	R	General function prediction only	POORLY CHARACTERIZED
P0A6X3	Protein hfq OS=Escherichia coli (strain K12) GN=hfq PE=1 SV=2	hfq	11.14157168	R	General function prediction only	POORLY CHARACTERIZED
P76145	Trans-aconitate 2-methyltransferase OS=Escherichia coli (strain K12) GN=tam PE=1 SV=3	tam	28.96946744	R	General function prediction only	POORLY CHARACTERIZED
P0AGG8	Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1	tldD	51.31411743	R	General function prediction only	POORLY CHARACTERIZED
P12994	UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2	ybhB	17.05626895	R	General function prediction only	POORLY CHARACTERIZED
P24188	UPF0176 protein yceA OS=Escherichia coli (strain K12) GN=yceA PE=2 SV=2	yceA	39.73751048	R	General function prediction only	POORLY CHARACTERIZED
P76272	Uncharacterized protein yebT OS=Escherichia coli (strain K12) GN=yebT PE=1 SV=2	yebT	94.89378059	R	General function prediction only	POORLY CHARACTERIZED
P33030	Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2	yeiR	36.07287079	R	General function prediction only	POORLY CHARACTERIZED
P0AD27	Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1	yejM	67.23566157	R	General function prediction only	POORLY CHARACTERIZED
P77625	Phosphatase YfbT OS=Escherichia coli (strain K12) GN=yfbT PE=1 SV=2	yfbT	22.97510218	R	General function prediction only	POORLY CHARACTERIZED
P42599	Uncharacterized oxidoreductase ygjR OS=Escherichia coli (strain K12) GN=ygjR PE=3 SV=3	ygjR	36.17329961	R	General function prediction only	POORLY CHARACTERIZED
P0AEQ1	Protein glcG OS=Escherichia coli (strain K12) GN=glcG PE=3 SV=1	glcG	13.71013226	R	General function prediction only	POORLY CHARACTERIZED
P0A756	Glutathione-regulated potassium-efflux system ancillary protein kefG OS=Escherichia coli (strain K12) GN=kefG PE=3 SV=1	kefG	20.92661292	R	General function prediction only	POORLY CHARACTERIZED
P76535	N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1	murQ	31.18214441	R	General function prediction only	POORLY CHARACTERIZED
P0AFB1	Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1	nlpI	33.58182179	R	General function prediction only	POORLY CHARACTERIZED
P77756	7-cyano-7-deazaguanine synthase OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1	queC	25.47974638	R	General function prediction only	POORLY CHARACTERIZED
P31473	ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2	ravA	56.33557098	R	General function prediction only	POORLY CHARACTERIZED
P75849	Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1	ycbL	23.75094389	R	General function prediction only	POORLY CHARACTERIZED
P0AB28	Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1	yceD	19.2845742	R	General function prediction only	POORLY CHARACTERIZED
P76049	Uncharacterized protein ycjY OS=Escherichia coli (strain K12) GN=ycjY PE=1 SV=2	ycjY	33.61949098	R	General function prediction only	POORLY CHARACTERIZED
P0A8D6	UPF0189 protein ymdB OS=Escherichia coli (strain K12) GN=ymdB PE=1 SV=1	ymdB	18.85061192	R	General function prediction only	POORLY CHARACTERIZED
P77475	Phosphatase YqaB OS=Escherichia coli (strain K12) GN=yqaB PE=1 SV=1	yqaB	20.74853598	R	General function prediction only	POORLY CHARACTERIZED
P0AF67	UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1	tsaE	16.82438456	R	General function prediction only	POORLY CHARACTERIZED
P77580	Acetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=mhpF PE=1 SV=1	mhpF	33.40316874	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P76004	Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1	ycgM	23.67810998	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P16869	FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2	fhuE	81.1640738	P	Inorganic ion transport and metabolism	METABOLISM
P0AAH0	Phosphate import ATP-binding protein PstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2	pstB	28.99077068	P	Inorganic ion transport and metabolism	METABOLISM
P39830	Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2	ybaL	59.3672376	P	Inorganic ion transport and metabolism	METABOLISM
P37617	Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1	zntA	76.77384377	P	Inorganic ion transport and metabolism	METABOLISM
P0AC62	Glutaredoxin-3 OS=Escherichia coli (strain K12) GN=grxC PE=1 SV=2	grxC	9.11362373	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0C054	Small heat shock protein ibpA OS=Escherichia coli (strain K12) GN=ibpA PE=1 SV=1	ibpA	15.74608541	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A744	Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain K12) GN=msrA PE=1 SV=2	msrA	23.28205418	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A7A5	Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2	pcm	23.22531917	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A9L5	Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2	ppiC	10.2074459	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A832	SsrA-binding protein OS=Escherichia coli (strain K12) GN=smpB PE=1 SV=2	smpB	18.23966906	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AEE3	Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1	degS	37.53988162	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AC69	Glutaredoxin-4 OS=Escherichia coli (strain K12) GN=grxD PE=1 SV=1	grxD	12.85246558	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P75867	Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1	ycbZ	65.75922598	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P64554	7-carboxy-7-deazaguanine synthase homolog OS=Escherichia coli (strain K12) GN=ygcF PE=1 SV=1	queE	24.99563713	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P28249	Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2	asmA	68.90209792	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
